Total trades,Total Winning Trades,Total Losing Trades,Starting Balance,Finishing Balance,Win Rate,Ratio Avg Win/Loss,Longs Count,Longs Percentage,Shorts Percentage,Shorts Count,Fee,Net Profit,Net Profit Percentage,Average Win,Average Loss,Expectancy,Expectancy Percentage,Expected Net Profit Every 100 Trades,Avg Holding Time (sec),Avg Holding Time,Avg Winning Holding Time (sec),Avg Winning Holding Time,Avg Losing Holding Time (sec),Avg Losing Holding Time,Gross Profit,Gross Loss,Max Drawdown,Annual Return,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Omega Ratio,Serenity Index,Smart Sharpe,Smart Sortino,Total Open Trades,Open PL,Winning Streak,Losing Streak,Largest Losing Trade,Largest Winning Trade,Current Streak,Hyperparameters
45,14,31,10000.0,8445.71,0.31,1.86,45,100.0,0.0,0,673.47,-1554.29,-15.54,589.78,316.49,-34.54,-0.35,-34.54,80138.66666666667,22h 15m 38.67s,143824.2857142857,39h 57m 4.29s,51377.41935483871,14h 16m 17.42s,8256.89,-9811.17,-34.87,-33.52,-0.59,-0.96,-0.97,0.9,-0.11,-0.54,-0.89,1,103.73,3,8,-378.42,1133.66,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.97, rsi: 5"""
26,7,19,10000.0,11126.76,0.27,3.16,26,100.0,0.0,0,441.27,1126.76,11.27,1142.93,361.78,43.34,0.43,43.34,129484.61538461539,35h 58m 4.62s,210120.0,58h 22m 0.00s,99776.84210526316,27h 42m 56.84s,8000.54,-6873.78,-22.97,29.44,0.78,1.28,1.38,1.18,0.28,0.74,1.31,0,0,2,6,-404.39,1274.85,-1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.97, rsi: 10"""
32,8,24,10000.0,6798.62,0.25,1.89,32,100.0,0.0,0,410.07,-3201.38,-32.01,680.52,360.23,-100.04,-1.0,-100.04,123553.125,34h 19m 13.12s,174892.5,48h 34m 52.50s,106440.0,29h 34m 0.00s,5444.16,-8645.54,-43.78,-60.65,-1.63,-1.39,-2.28,0.74,-0.15,-1.6,-2.25,1,478.3,2,7,-439.25,948.25,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 8"""
37,10,27,10000.0,8712.65,0.27,2.31,37,100.0,0.0,0,570.33,-1287.35,-12.87,752.17,326.26,-34.79,-0.35,-34.79,110510.27027027027,30h 41m 50.27s,171804.0,47h 43m 24.00s,87808.88888888889,24h 23m 28.89s,7521.67,-8809.02,-32.37,-28.33,-0.44,-0.88,-0.71,0.92,-0.12,-0.41,-0.65,0,0,2,8,-379.97,1140.57,-2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.97, rsi: 6"""
34,7,27,10000.0,7460.21,0.21,2.64,34,100.0,0.0,0,478.66,-2539.79,-25.4,785.4,297.69,-74.7,-0.75,-74.7,94187.64705882352,26h 9m 47.65s,125820.0,34h 57m 0.00s,85986.66666666667,23h 53m 6.67s,5497.83,-8037.62,-35.71,-50.75,-1.36,-1.42,-2.03,0.77,-0.17,-1.33,-2.0,0,0,1,7,-343.62,979.44,-2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 8"""
32,7,25,10000.0,9130.86,0.22,3.2,32,100.0,0.0,0,503.13,-869.14,-8.69,1067.16,333.57,-27.16,-0.27,-27.16,117168.75,32h 32m 48.75s,213205.7142857143,59h 13m 25.71s,90278.4,25h 4m 38.40s,7470.15,-8339.29,-29.06,-19.73,-0.23,-0.68,-0.37,0.96,-0.11,-0.22,-0.37,0,0,1,7,-376.13,1238.35,-2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.97, rsi: 9"""
37,10,27,10000.0,8714.86,0.27,2.31,37,100.0,0.0,0,575.4,-1285.14,-12.85,761.16,329.51,-34.73,-0.35,-34.73,106076.75675675676,29h 27m 56.76s,155400.0,43h 10m 0.00s,87808.88888888889,24h 23m 28.89s,7611.62,-8896.76,-31.97,-28.29,-0.46,-0.88,-0.72,0.92,-0.12,-0.42,-0.66,0,0,2,8,-387.73,1075.27,-2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 6"""
21,8,13,10000.0,10127.83,0.38,1.65,21,100.0,0.0,0,324.33,127.83,1.28,897.8,542.66,6.09,0.06,6.09,202254.2857142857,56h 10m 54.29s,180457.5,50h 7m 37.50s,215667.6923076923,59h 54m 27.69s,7182.41,-7054.58,-32.0,3.12,0.31,0.1,0.47,1.07,0.02,0.29,0.44,1,712.19,2,6,-609.17,1048.93,2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 10"""
25,8,17,10000.0,8039.07,0.32,1.63,25,100.0,0.0,0,351.86,-1960.93,-19.61,801.63,492.59,-78.44,-0.78,-78.44,190480.8,52h 54m 40.80s,226357.5,62h 52m 37.50s,173597.64705882352,48h 13m 17.65s,6413.06,-8373.99,-35.48,-41.0,-0.72,-1.16,-1.03,0.87,-0.23,-0.71,-1.02,1,565.02,2,7,-568.75,970.08,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 9"""
34,8,26,10000.0,8187.1,0.24,2.54,34,100.0,0.0,0,513.33,-1812.9,-18.13,809.48,318.8,-53.32,-0.53,-53.32,101844.70588235294,28h 17m 24.71s,145192.5,40h 19m 52.50s,88506.92307692308,24h 35m 6.92s,6475.87,-8288.77,-32.13,-38.34,-0.84,-1.19,-1.29,0.85,-0.17,-0.77,-1.18,0,0,2,7,-374.37,1038.91,-3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 7"""
30,8,22,10000.0,7789.49,0.27,2.03,30,100.0,0.0,0,409.16,-2210.51,-22.11,777.79,383.31,-73.68,-0.74,-73.68,138922.0,38h 35m 22.00s,209865.0,58h 17m 45.00s,113124.54545454546,31h 25m 24.55s,6222.34,-8432.85,-37.65,-45.33,-0.96,-1.2,-1.42,0.83,-0.16,-0.94,-1.39,1,549.25,2,7,-457.18,988.8,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 9"""
26,8,18,10000.0,9392.79,0.31,2.07,26,100.0,0.0,0,381.68,-607.21,-6.07,854.92,413.7,-23.35,-0.23,-23.35,140785.38461538462,39h 6m 25.38s,163965.0,45h 32m 45.00s,130483.33333333333,36h 14m 43.33s,6839.38,-7446.59,-30.11,-14.05,-0.08,-0.47,-0.13,0.98,-0.07,-0.08,-0.12,1,662.26,2,6,-458.14,988.8,2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 10"""
33,6,27,10000.0,9418.76,0.18,4.05,33,100.0,0.0,0,495.07,-581.24,-5.81,878.34,216.71,-17.61,-0.18,-17.61,74298.18181818182,20h 38m 18.18s,177270.0,49h 14m 30.00s,51415.555555555555,14h 16m 55.56s,5270.06,-5851.3,-21.83,-13.48,-0.14,-0.62,-0.24,0.97,-0.11,-0.13,-0.21,0,0,1,8,-236.24,958.23,-2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.98, rsi: 9"""
35,11,24,10000.0,8043.29,0.31,1.74,35,100.0,0.0,0,496.94,-1956.71,-19.57,691.99,398.69,-55.91,-0.56,-55.91,131060.57142857143,36h 24m 20.57s,156981.81818181818,43h 36m 21.82s,119180.0,33h 6m 20.00s,7611.88,-9568.59,-38.5,-40.92,-0.76,-1.06,-1.13,0.87,-0.14,-0.7,-1.04,1,565.02,2,7,-459.73,987.97,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 6"""
34,8,26,10000.0,8737.89,0.24,2.78,34,100.0,0.0,0,535.83,-1262.11,-12.62,924.48,333.0,-37.12,-0.37,-37.12,108608.82352941176,30h 10m 8.82s,173940.0,48h 19m 0.00s,88506.92307692308,24h 35m 6.92s,7395.82,-8657.93,-32.18,-27.83,-0.46,-0.86,-0.73,0.92,-0.12,-0.42,-0.67,0,0,2,7,-392.03,1197.08,-3,"""xparam: 70, take_profit: 1.12, stop_loss: 0.97, rsi: 7"""
28,9,19,10000.0,7315.04,0.32,1.47,28,100.0,0.0,0,372.78,-2684.96,-26.85,683.73,465.19,-95.89,-0.96,-95.89,169577.14285714287,47h 6m 17.14s,186660.0,51h 51m 0.00s,161485.26315789475,44h 51m 25.26s,6153.61,-8838.57,-38.76,-53.03,-1.15,-1.37,-1.56,0.81,-0.23,-1.14,-1.54,1,515.09,2,7,-545.65,931.14,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 7"""
27,8,19,10000.0,6880.57,0.3,1.52,27,100.0,0.0,0,350.8,-3119.43,-31.19,688.27,453.98,-115.53,-1.16,-115.53,168484.44444444444,46h 48m 4.44s,191385.0,53h 9m 45.00s,158842.1052631579,44h 7m 22.11s,5506.18,-8625.61,-41.9,-59.5,-1.42,-1.42,-1.92,0.76,-0.21,-1.39,-1.88,1,483.55,2,7,-537.86,931.14,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 8"""
32,8,24,10000.0,7433.05,0.25,2.16,32,100.0,0.0,0,433.03,-2566.95,-25.67,820.6,380.49,-80.22,-0.8,-80.22,131868.75,36h 37m 48.75s,208155.0,57h 49m 15.00s,106440.0,29h 34m 0.00s,6564.78,-9131.74,-41.59,-51.18,-1.13,-1.23,-1.64,0.81,-0.15,-1.1,-1.6,1,522.97,2,7,-454.94,1163.3,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.96, rsi: 8"""
21,8,13,10000.0,11048.22,0.38,1.85,21,100.0,0.0,0,342.87,1048.22,10.48,1062.73,573.35,49.92,0.5,49.92,217977.14285714287,60h 32m 57.14s,221730.0,61h 35m 30.00s,215667.6923076923,59h 54m 27.69s,8501.81,-7453.59,-31.98,27.25,0.72,0.85,1.12,1.15,0.19,0.67,1.06,1,777.89,2,6,-655.36,1267.1,2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.95, rsi: 10"""
25,8,17,10000.0,8780.25,0.32,1.83,25,100.0,0.0,0,372.02,-1219.75,-12.2,954.11,520.74,-48.79,-0.49,-48.79,203688.0,56h 34m 48.00s,267630.0,74h 20m 30.00s,173597.64705882352,48h 13m 17.65s,7632.89,-8852.63,-35.45,-26.98,-0.3,-0.76,-0.44,0.95,-0.16,-0.29,-0.43,1,617.58,2,7,-609.17,1198.44,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.95, rsi: 9"""
34,7,27,10000.0,8165.05,0.21,3.03,34,100.0,0.0,0,506.41,-1834.95,-18.35,953.99,315.29,-53.97,-0.54,-53.97,102014.11764705883,28h 20m 14.12s,163834.2857142857,45h 30m 34.29s,85986.66666666667,23h 53m 6.67s,6677.96,-8512.91,-34.48,-38.74,-0.81,-1.12,-1.26,0.86,-0.14,-0.79,-1.23,0,0,1,7,-364.91,1199.86,-2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.97, rsi: 8"""
32,7,25,10000.0,8364.39,0.22,2.83,32,100.0,0.0,0,474.83,-1635.61,-16.36,888.99,314.34,-51.11,-0.51,-51.11,106796.25,29h 39m 56.25s,165788.57142857142,46h 3m 8.57s,90278.4,25h 4m 38.40s,6222.93,-7858.55,-30.17,-35.06,-0.72,-1.16,-1.15,0.87,-0.17,-0.71,-1.14,0,0,1,7,-353.82,1010.63,-2,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 9"""
45,14,31,10000.0,8323.18,0.31,1.83,45,100.0,0.0,0,670.82,-1676.82,-16.77,578.54,315.37,-37.26,-0.37,-37.26,76053.33333333333,21h 7m 33.33s,130692.85714285714,36h 18m 12.86s,51377.41935483871,14h 16m 17.42s,8099.52,-9776.34,-34.85,-35.83,-0.69,-1.03,-1.11,0.88,-0.11,-0.64,-1.03,1,102.36,3,8,-378.42,1015.87,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.97, rsi: 5"""
28,9,19,10000.0,7818.79,0.32,1.61,28,100.0,0.0,0,388.59,-2181.21,-21.81,779.77,484.17,-77.9,-0.78,-77.9,177790.7142857143,49h 23m 10.71s,212213.33333333334,58h 56m 53.33s,161485.26315789475,44h 51m 25.26s,7017.95,-9199.16,-38.73,-44.83,-0.81,-1.16,-1.12,0.86,-0.21,-0.8,-1.11,1,549.25,2,7,-571.64,1125.78,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.95, rsi: 7"""
42,15,27,10000.0,8331.55,0.36,1.54,42,100.0,0.0,0,641.38,-1668.45,-16.68,656.75,426.66,-39.72,-0.4,-39.72,99254.28571428571,27h 34m 14.29s,136748.0,37h 59m 8.00s,78424.44444444444,21h 47m 4.44s,9851.27,-11519.72,-41.78,-35.68,-0.6,-0.85,-0.93,0.9,-0.09,-0.53,-0.83,1,586.04,3,7,-515.17,1091.12,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 5"""
26,8,18,10000.0,10249.44,0.31,2.32,26,100.0,0.0,0,403.27,249.44,2.49,1014.36,436.97,9.59,0.1,9.59,153551.53846153847,42h 39m 11.54s,205455.0,57h 4m 15.00s,130483.33333333333,36h 14m 43.33s,8114.89,-7865.45,-29.04,6.14,0.36,0.21,0.58,1.07,0.04,0.36,0.58,1,722.7,2,6,-490.88,1212.09,2,"""xparam: 70, take_profit: 1.12, stop_loss: 0.96, rsi: 10"""
31,11,20,10000.0,7534.72,0.35,1.35,31,100.0,0.0,0,421.49,-2465.28,-24.65,637.88,474.1,-79.53,-0.8,-79.53,171706.4516129032,47h 41m 46.45s,199385.45454545456,55h 23m 5.45s,156483.0,43h 28m 3.00s,7016.72,-9482.0,-38.62,-49.55,-0.94,-1.28,-1.31,0.85,-0.22,-0.93,-1.3,1,530.86,2,7,-553.44,1120.21,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.95, rsi: 6"""
36,7,29,10000.0,9110.72,0.19,3.56,36,100.0,0.0,0,544.88,-889.28,-8.89,777.01,218.22,-24.7,-0.25,-24.7,70516.66666666667,19h 35m 16.67s,152091.42857142858,42h 14m 51.43s,50826.206896551725,14h 7m 6.21s,5439.05,-6328.33,-23.34,-20.16,-0.35,-0.86,-0.58,0.93,-0.13,-0.35,-0.57,0,0,2,8,-247.09,992.15,-3,"""xparam: 70, take_profit: 1.1, stop_loss: 0.98, rsi: 7"""
30,8,22,10000.0,8489.28,0.27,2.28,30,100.0,0.0,0,432.57,-1510.72,-15.11,926.34,405.52,-50.36,-0.5,-50.36,149986.0,41h 39m 46.00s,251355.0,69h 49m 15.00s,113124.54545454546,31h 25m 24.55s,7410.74,-8921.45,-36.08,-32.69,-0.51,-0.91,-0.77,0.91,-0.13,-0.49,-0.75,1,596.56,2,7,-475.11,1212.09,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.96, rsi: 9"""
42,15,27,10000.0,8622.17,0.36,1.59,42,100.0,0.0,0,656.37,-1377.83,-13.78,693.48,436.3,-32.81,-0.33,-32.81,104391.42857142857,28h 59m 51.43s,151132.0,41h 58m 52.00s,78424.44444444444,21h 47m 4.44s,10402.27,-11780.1,-41.74,-30.12,-0.42,-0.72,-0.66,0.93,-0.07,-0.37,-0.59,1,607.07,3,7,-522.29,1262.78,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.96, rsi: 5"""
27,8,19,10000.0,7523.55,0.3,1.73,27,100.0,0.0,0,370.43,-2476.45,-24.76,829.05,479.41,-91.72,-0.92,-91.72,178275.55555555556,49h 31m 15.56s,224430.0,62h 20m 30.00s,158842.1052631579,44h 7m 22.11s,6632.41,-9108.86,-41.42,-49.73,-0.96,-1.2,-1.34,0.84,-0.2,-0.94,-1.32,1,528.23,2,7,-578.04,1136.02,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.95, rsi: 8"""
35,11,24,10000.0,8031.03,0.31,1.73,35,100.0,0.0,0,492.97,-1968.97,-19.69,683.13,395.14,-56.26,-0.56,-56.26,135747.42857142858,37h 42m 27.43s,171894.54545454544,47h 44m 54.55s,119180.0,33h 6m 20.00s,7514.43,-9483.4,-38.92,-41.14,-0.75,-1.06,-1.13,0.87,-0.14,-0.7,-1.04,1,565.02,2,7,-459.42,1132.43,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.96, rsi: 6"""
39,15,24,10000.0,7194.15,0.38,1.22,39,100.0,0.0,0,552.23,-2805.85,-28.06,598.71,491.1,-71.94,-0.72,-71.94,121395.38461538461,33h 43m 15.38s,156908.0,43h 35m 8.00s,99200.0,27h 33m 20.00s,8980.61,-11786.46,-44.54,-54.89,-1.12,-1.23,-1.6,0.82,-0.15,-1.04,-1.49,1,507.2,3,7,-595.15,1039.38,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 5"""
31,9,22,10000.0,8392.05,0.29,2.0,31,100.0,0.0,0,449.5,-1607.95,-16.08,814.68,406.37,-51.87,-0.52,-51.87,144418.06451612903,40h 6m 58.06s,212213.33333333334,58h 56m 53.33s,116683.63636363637,32h 24m 43.64s,7332.16,-8940.11,-38.23,-34.54,-0.57,-0.9,-0.85,0.9,-0.13,-0.53,-0.79,1,591.3,2,7,-481.58,1163.3,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.96, rsi: 7"""
31,9,22,10000.0,7864.63,0.29,1.84,31,100.0,0.0,0,430.71,-2135.37,-21.35,715.02,389.57,-68.88,-0.69,-68.88,136999.35483870967,38h 3m 19.35s,186660.0,51h 51m 0.00s,116683.63636363637,32h 24m 43.64s,6435.2,-8570.57,-37.85,-44.05,-0.92,-1.16,-1.34,0.84,-0.16,-0.85,-1.23,1,554.51,2,7,-458.31,948.25,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.96, rsi: 7"""
31,11,20,10000.0,7544.68,0.35,1.35,31,100.0,0.0,0,424.02,-2455.32,-24.55,644.4,477.18,-79.2,-0.79,-79.2,166414.83870967742,46h 13m 34.84s,184472.72727272726,51h 14m 32.73s,156483.0,43h 28m 3.00s,7088.37,-9543.69,-37.91,-49.39,-0.95,-1.3,-1.32,0.84,-0.24,-0.94,-1.31,1,530.86,2,7,-557.83,955.36,1,"""xparam: 70, take_profit: 1.1, stop_loss: 0.95, rsi: 6"""
39,15,24,10000.0,7436.04,0.38,1.26,39,100.0,0.0,0,564.83,-2563.96,-25.64,632.81,502.34,-65.74,-0.66,-65.74,126927.69230769231,35h 15m 27.69s,171292.0,47h 34m 52.00s,99200.0,27h 33m 20.00s,9492.1,-12056.07,-46.37,-51.13,-0.96,-1.1,-1.38,0.85,-0.12,-0.88,-1.27,1,522.97,3,7,-617.4,1250.56,1,"""xparam: 70, take_profit: 1.12, stop_loss: 0.95, rsi: 5"""
33,6,27,10000.0,10588.38,0.18,4.92,33,100.0,0.0,0,531.4,588.38,5.88,1144.9,232.63,17.83,0.18,17.83,86132.72727272728,23h 55m 32.73s,242360.0,67h 19m 20.00s,51415.555555555555,14h 16m 55.56s,6869.37,-6280.99,-21.82,14.82,0.52,0.68,0.94,1.12,0.14,0.47,0.86,0,0,1,8,-256.73,1349.86,-2,"""xparam: 70, take_profit: 1.1400000000000001, stop_loss: 0.98, rsi: 9"""
47,11,36,10000.0,8845.29,0.23,2.76,47,100.0,0.0,0,661.94,-1154.71,-11.55,562.22,203.87,-24.57,-0.25,-24.57,57884.68085106383,16h 4m 44.68s,140705.45454545456,39h 5m 5.45s,32578.333333333332,9h 2m 58.33s,6184.45,-7339.16,-26.48,-25.67,-0.45,-0.97,-0.82,0.91,-0.1,-0.44,-0.81,1,108.78,2,8,-233.5,1318.8,1,"""xparam: 70, take_profit: 1.1400000000000001, stop_loss: 0.98, rsi: 5"""
36,7,29,10000.0,10077.8,0.19,4.19,36,100.0,0.0,0,578.75,77.8,0.78,971.24,231.76,2.16,0.02,2.16,77736.66666666667,21h 35m 36.67s,189222.85714285713,52h 33m 42.86s,50826.206896551725,14h 7m 6.21s,6798.7,-6720.9,-23.33,1.89,0.26,0.08,0.45,1.06,0.01,0.25,0.45,0,0,2,8,-262.76,1347.36,-3,"""xparam: 70, take_profit: 1.1400000000000001, stop_loss: 0.98, rsi: 7"""
34,7,27,10000.0,8702.8,0.21,3.29,34,100.0,0.0,0,528.35,-1297.2,-12.97,1084.72,329.27,-38.15,-0.38,-38.15,103745.29411764706,28h 49m 5.29s,172242.85714285713,47h 50m 42.86s,85986.66666666667,23h 53m 6.67s,7593.05,-8890.25,-34.91,-28.53,-0.43,-0.82,-0.71,0.92,-0.11,-0.42,-0.69,0,0,1,7,-381.92,1425.43,-2,"""xparam: 70, take_profit: 1.1400000000000001, stop_loss: 0.97, rsi: 8"""
28,9,19,10000.0,8374.25,0.32,1.75,28,100.0,0.0,0,405.95,-1625.75,-16.26,886.57,505.52,-58.06,-0.58,-58.06,178868.57142857142,49h 41m 8.57s,215566.66666666666,59h 52m 46.67s,161485.26315789475,44h 51m 25.26s,7979.1,-9604.85,-38.76,-34.88,-0.46,-0.9,-0.67,0.92,-0.17,-0.45,-0.66,1,588.67,2,7,-603.39,1337.71,1,"""xparam: 70, take_profit: 1.1400000000000001, stop_loss: 0.95, rsi: 7"""
