Total trades,Total Winning Trades,Total Losing Trades,Starting Balance,Finishing Balance,Win Rate,Ratio Avg Win/Loss,Longs Count,Longs %,Shorts %,Shorts Count,Fee,Net Profit,Net Profit %,Average Win,Average Loss,Expectancy,Expectancy %,Expected Net Profit Every 100 Trades,Avg Holding Time,Avg Winning Holding Time,Avg Losing Holding Time,Gross Profit,Gross Loss,Max Drawdown,Annual Return,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Omega Ratio,Serenity Index,Total Open Trades,Open PL,Winning Streak,Losing Streak,Largest Losing Trade,Largest Winning Trade,Current Streak,Hyperparameters
29,13,16,10000.0,11308.37,0.45,1.69,29,100.0,0.0,0,466.52,1308.37,13.08,368.72,217.81,45.12,0.45,45.12,42h 21m 26.90s,53h 6m 23.08s,33h 37m 26.25s,4793.34,-3484.97,-14.38,34.61,1.16,2.41,2.02,1.29,inf,1,0.0,3,5,-243.18,1520.17,-1,"""xparam: 70, take_profit: 1.16, stop_loss: 0.98, rsi: 7"""
27,10,17,10000.0,11128.66,0.37,2.21,27,100.0,0.0,0,435.31,1128.66,11.29,487.66,220.46,41.8,0.42,41.8,45h 30m 33.33s,66h 38m 18.00s,33h 4m 49.41s,4876.56,-3747.9,-13.72,29.5,1.01,2.15,1.72,1.24,inf,1,0.0,3,5,-247.42,1545.61,-1,"""xparam: 70, take_profit: 1.16, stop_loss: 0.98, rsi: 8"""
21,6,15,10000.0,10255.53,0.29,2.7,21,100.0,0.0,0,315.78,255.53,2.56,586.61,217.61,12.17,0.12,12.17,54h 37m 17.14s,84h 0m 0.00s,42h 52m 12.00s,3519.67,-3264.14,-12.49,6.29,0.34,0.5,0.63,1.09,inf,1,76.33,3,6,-232.55,1478.37,3,"""xparam: 70, take_profit: 1.16, stop_loss: 0.98, rsi: 10"""
26,8,18,10000.0,10923.83,0.31,2.75,26,100.0,0.0,0,415.66,923.83,9.24,635.69,231.2,35.53,0.36,35.53,47h 15m 2.31s,81h 47m 52.50s,31h 53m 46.67s,5085.51,-4161.68,-12.99,23.81,0.8,1.83,1.49,1.2,inf,1,81.4,2,6,-251.05,1564.69,2,"""xparam: 70, take_profit: 1.16, stop_loss: 0.98, rsi: 9"""
24,17,7,10000.0,11716.77,0.71,0.65,24,100.0,0.0,0,406.33,1716.77,17.17,275.7,424.3,71.53,0.72,71.53,59h 7m 52.50s,66h 4m 0.00s,42h 17m 17.14s,4686.89,-2970.13,-13.37,46.66,1.37,3.49,2.57,1.35,inf,1,0.0,6,2,-651.2,1763.26,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.95, rsi: 6"""
33,24,9,10000.0,12343.66,0.73,0.63,33,100.0,0.0,0,559.57,2343.66,23.44,242.77,386.97,71.02,0.71,71.02,50h 59m 43.64s,55h 47m 50.00s,38h 11m 26.67s,5826.42,-3482.76,-19.12,66.36,1.64,3.47,3.01,1.39,inf,1,0.0,7,2,-642.3,1701.45,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.95, rsi: 5"""
17,10,7,10000.0,10995.89,0.59,0.88,17,100.0,0.0,0,269.95,995.89,9.96,483.84,548.94,58.58,0.59,58.58,102h 16m 56.47s,121h 54m 48.00s,74h 14m 17.14s,4838.44,-3842.55,-19.02,25.79,0.77,1.36,1.36,1.17,inf,1,81.81,3,3,-603.71,1610.56,3,"""xparam: 70, take_profit: 1.18, stop_loss: 0.95, rsi: 9"""
13,7,6,10000.0,9494.2,0.54,0.71,13,100.0,0.0,0,182.68,-505.8,-5.06,353.81,497.07,-38.91,-0.39,-38.91,109h 0m 18.46s,112h 0m 0.00s,105h 30m 40.00s,2476.65,-2982.45,-19.03,-11.79,-0.19,-0.62,-0.31,0.96,-inf,1,70.64,3,3,-523.44,716.72,3,"""xparam: 70, take_profit: 1.18, stop_loss: 0.95, rsi: 10"""
20,12,8,10000.0,10824.83,0.6,0.81,20,100.0,0.0,0,319.3,824.83,8.25,394.52,488.67,41.24,0.41,41.24,81h 56m 24.00s,94h 15m 40.00s,63h 27m 30.00s,4734.19,-3909.36,-19.03,21.12,0.73,1.11,1.2,1.16,inf,1,0.0,3,3,-585.33,1657.82,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.95, rsi: 8"""
21,14,7,10000.0,11190.27,0.67,0.68,21,100.0,0.0,0,337.4,1190.27,11.9,321.84,473.64,56.68,0.57,56.68,73h 27m 48.57s,77h 56m 17.14s,64h 30m 51.43s,4505.78,-3315.51,-19.62,31.24,0.98,1.59,1.68,1.23,inf,1,0.0,6,3,-593.35,1628.74,-1,"""xparam: 70, take_profit: 1.18, stop_loss: 0.95, rsi: 7"""
