Total trades,Total Winning Trades,Total Losing Trades,Starting Balance,Finishing Balance,Win Rate,Ratio Avg Win/Loss,Longs Count,Longs %,Shorts %,Shorts Count,Fee,Net Profit,Net Profit %,Average Win,Average Loss,Expectancy,Expectancy %,Expected Net Profit Every 100 Trades,Avg Holding Time,Avg Winning Holding Time,Avg Losing Holding Time,Gross Profit,Gross Loss,Max Drawdown,Annual Return,Sharpe Ratio,Calmar Ratio,Sortino Ratio,Omega Ratio,Serenity Index,Total Open Trades,Open PL,Winning Streak,Losing Streak,Largest Losing Trade,Largest Winning Trade,Current Streak,Hyperparameters
27,10,17,10000.0,11179.52,0.37,2.23,27,100.0,0.0,0,436.69,1179.52,11.8,494.08,221.25,43.69,0.44,43.69,46h 6m 6.67s,68h 14m 18.00s,33h 4m 49.41s,4940.79,-3761.27,-13.37,30.93,1.05,2.31,1.78,1.25,inf,1,0.0,3,5,-248.63,1548.79,-1,"""xparam: 71, take_profit: 1.16, stop_loss: 0.98, rsi: 8"""
31,17,14,10000.0,12056.0,0.55,1.36,31,100.0,0.0,0,518.53,2056.0,20.56,305.99,224.7,66.32,0.66,66.32,40h 54m 7.74s,48h 8m 24.71s,32h 6m 47.14s,5201.83,-3145.83,-9.69,57.14,1.68,5.9,3.09,1.44,inf,1,0.0,3,2,-257.63,1586.95,-1,"""xparam: 71, take_profit: 1.16, stop_loss: 0.98, rsi: 6"""
17,5,12,10000.0,8704.94,0.29,1.53,17,100.0,0.0,0,237.61,-1295.06,-12.95,459.54,299.4,-76.18,-0.76,-76.18,75h 20m 0.00s,83h 12m 0.00s,72h 3m 20.00s,2297.72,-3592.77,-20.92,-28.48,-0.82,-1.36,-1.3,0.83,-inf,1,64.76,2,6,-318.66,806.99,2,"""xparam: 71, take_profit: 1.16, stop_loss: 0.97, rsi: 10"""
29,12,17,10000.0,11168.57,0.41,1.86,29,100.0,0.0,0,463.77,1168.57,11.69,406.06,217.89,40.3,0.4,40.3,43h 45m 0.00s,58h 51m 55.00s,33h 4m 49.41s,4872.73,-3704.16,-14.38,30.62,1.04,2.13,1.77,1.25,inf,1,0.0,3,5,-243.18,1520.17,-1,"""xparam: 71, take_profit: 1.16, stop_loss: 0.98, rsi: 7"""
25,7,18,10000.0,10039.75,0.28,2.6,25,100.0,0.0,0,385.52,39.75,0.4,581.58,223.96,1.59,0.02,1.59,50h 5m 19.20s,81h 42m 51.43s,37h 47m 23.33s,4071.09,-4031.34,-15.85,0.96,0.19,0.06,0.34,1.04,inf,1,74.7,2,7,-241.89,1539.97,2,"""xparam: 71, take_profit: 1.16, stop_loss: 0.98, rsi: 9"""
31,21,10,10000.0,12349.57,0.68,0.8,31,100.0,0.0,0,528.25,2349.57,23.5,277.33,347.44,75.79,0.76,75.79,55h 49m 54.19s,58h 3m 14.29s,51h 9m 54.00s,5823.96,-3474.39,-19.25,66.55,1.65,3.46,3.03,1.39,inf,1,0.0,7,2,-654.17,1701.45,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.95, rsi: 5"""
21,5,16,10000.0,9771.07,0.24,2.99,21,100.0,0.0,0,314.97,-228.93,-2.29,649.95,217.42,-10.9,-0.11,-10.9,55h 29m 2.86s,48h 48m 0.00s,57h 34m 22.50s,3249.75,-3478.69,-13.35,-5.44,-0.02,-0.41,-0.04,0.99,-inf,1,72.67,2,6,-232.55,1478.37,2,"""xparam: 71, take_profit: 1.16, stop_loss: 0.98, rsi: 10"""
23,16,7,10000.0,12104.93,0.7,0.75,23,100.0,0.0,0,389.67,2104.93,21.05,316.62,423.0,91.52,0.92,91.52,64h 55m 15.65s,71h 26m 45.00s,50h 0m 25.71s,5065.93,-2961.0,-13.48,58.69,1.6,4.35,2.99,1.4,inf,1,0.0,6,2,-651.2,1759.62,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.95, rsi: 6"""
15,9,6,10000.0,10348.59,0.6,0.74,15,100.0,0.0,0,226.12,348.59,3.49,390.65,527.88,23.24,0.23,23.24,116h 20m 16.00s,122h 40m 0.00s,106h 50m 40.00s,3515.85,-3167.26,-19.02,8.64,0.4,0.45,0.68,1.09,inf,1,77.14,3,3,-554.68,745.32,3,"""xparam: 71, take_profit: 1.18, stop_loss: 0.95, rsi: 9"""
20,12,8,10000.0,11513.33,0.6,0.92,20,100.0,0.0,0,329.29,1513.33,15.13,461.26,502.73,75.67,0.76,75.67,85h 8m 24.00s,99h 35m 40.00s,63h 27m 30.00s,5535.14,-4021.81,-18.69,40.58,1.13,2.17,1.93,1.26,inf,1,0.0,3,3,-622.1,1661.46,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.95, rsi: 8"""
21,13,8,10000.0,10713.96,0.62,0.73,21,100.0,0.0,0,330.02,713.96,7.14,350.42,480.18,34.0,0.34,34.0,76h 53m 42.86s,85h 9m 50.77s,63h 27m 30.00s,4555.41,-3841.46,-19.62,18.14,0.66,0.92,1.08,1.14,inf,1,0.0,4,3,-576.13,1628.74,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.95, rsi: 7"""
31,21,10,10000.0,13014.0,0.68,0.96,31,100.0,0.0,0,543.82,3014.0,30.14,285.78,298.74,97.23,0.97,97.23,55h 27m 42.58s,58h 3m 14.29s,50h 1m 6.00s,6001.4,-2987.4,-15.8,89.04,2.07,5.63,4.16,1.52,inf,1,0.0,7,2,-549.86,1774.16,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.96, rsi: 5"""
12,6,6,10000.0,9071.71,0.5,0.69,12,100.0,0.0,0,168.76,-928.29,-9.28,343.86,498.58,-77.36,-0.77,-77.36,121h 25m 20.00s,137h 20m 0.00s,105h 30m 40.00s,2063.18,-2991.46,-19.03,-20.98,-0.5,-1.1,-0.8,0.89,-inf,1,67.6,2,3,-523.44,716.72,2,"""xparam: 71, take_profit: 1.18, stop_loss: 0.95, rsi: 10"""
23,16,7,10000.0,12756.75,0.7,0.93,23,100.0,0.0,0,400.99,2756.75,27.57,325.05,349.15,119.86,1.2,119.86,64h 23m 31.30s,71h 26m 45.00s,48h 16m 8.57s,5200.83,-2444.08,-10.73,80.13,2.05,7.47,4.15,1.55,inf,1,0.0,6,2,-541.49,1817.79,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.96, rsi: 6"""
21,13,8,10000.0,11523.08,0.62,0.91,21,100.0,0.0,0,344.03,1523.08,15.23,363.4,400.13,72.53,0.73,72.53,75h 26m 14.29s,85h 9m 50.77s,59h 37m 52.50s,4724.16,-3201.08,-16.21,40.87,1.2,2.52,2.07,1.28,inf,1,0.0,4,3,-484.02,1697.81,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.96, rsi: 7"""
20,12,8,10000.0,12385.29,0.6,1.14,20,100.0,0.0,0,342.88,2385.29,23.85,478.09,418.97,119.26,1.19,119.26,83h 36m 33.00s,99h 35m 40.00s,59h 37m 52.50s,5737.06,-3351.77,-15.22,67.72,1.66,4.45,3.01,1.41,inf,1,0.0,3,3,-523.53,1734.17,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.96, rsi: 8"""
13,6,7,10000.0,9258.07,0.46,0.86,13,100.0,0.0,0,187.86,-741.93,-7.42,353.77,409.22,-57.07,-0.57,-57.07,111h 14m 18.46s,137h 20m 0.00s,88h 52m 17.14s,2122.6,-2864.53,-18.09,-17.0,-0.37,-0.94,-0.6,0.92,-inf,1,69.02,2,3,-425.99,747.0,2,"""xparam: 71, take_profit: 1.18, stop_loss: 0.96, rsi: 10"""
16,9,7,10000.0,10563.26,0.56,0.92,16,100.0,0.0,0,248.08,563.26,5.63,401.56,435.83,35.2,0.35,35.2,108h 22m 52.50s,122h 40m 0.00s,90h 0m 51.43s,3614.04,-3050.78,-16.45,14.16,0.54,0.86,0.93,1.12,inf,1,78.76,3,3,-465.5,777.29,3,"""xparam: 71, take_profit: 1.18, stop_loss: 0.96, rsi: 9"""
20,8,12,10000.0,9412.89,0.4,1.26,20,100.0,0.0,0,292.31,-587.11,-5.87,394.62,312.0,-29.36,-0.29,-29.36,70h 49m 51.00s,105h 0m 0.00s,48h 3m 5.00s,3156.92,-3744.03,-19.2,-13.61,-0.25,-0.71,-0.41,0.95,-inf,1,70.03,2,4,-330.58,909.34,2,"""xparam: 71, take_profit: 1.18, stop_loss: 0.97, rsi: 9"""
25,13,12,10000.0,11225.54,0.52,1.23,25,100.0,0.0,0,401.24,1225.54,12.26,381.61,311.28,49.02,0.49,49.02,56h 43m 21.60s,74h 23m 13.85s,37h 35m 10.00s,4960.93,-3735.39,-16.84,32.24,1.04,1.91,1.78,1.24,inf,1,0.0,3,4,-358.06,1661.85,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.97, rsi: 7"""
35,22,13,10000.0,12044.06,0.63,0.9,35,100.0,0.0,0,583.67,2044.06,20.44,269.04,298.07,58.4,0.58,58.4,47h 54m 17.14s,56h 8m 16.36s,33h 58m 18.46s,5918.98,-3874.92,-17.7,56.76,1.54,3.21,2.97,1.35,inf,1,0.0,6,2,-393.78,1669.01,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.97, rsi: 5"""
17,5,12,10000.0,8704.94,0.29,1.53,17,100.0,0.0,0,237.61,-1295.06,-12.95,459.54,299.4,-76.18,-0.76,-76.18,75h 20m 0.00s,83h 12m 0.00s,72h 3m 20.00s,2297.72,-3592.77,-20.92,-28.48,-0.82,-1.36,-1.3,0.83,-inf,1,64.76,2,6,-318.66,806.99,2,"""xparam: 71, take_profit: 1.18, stop_loss: 0.97, rsi: 10"""
23,11,12,10000.0,11236.77,0.48,1.45,23,100.0,0.0,0,372.37,1236.77,12.37,456.92,315.78,53.77,0.54,53.77,60h 36m 41.74s,85h 43m 49.09s,37h 35m 10.00s,5026.16,-3789.39,-15.85,32.56,1.04,2.05,1.78,1.25,inf,1,0.0,3,4,-366.03,1694.08,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.97, rsi: 8"""
26,16,10,10000.0,12319.02,0.62,1.15,26,100.0,0.0,0,433.28,2319.02,23.19,318.87,278.29,89.19,0.89,89.19,54h 53m 4.62s,69h 56m 22.50s,30h 47m 48.00s,5101.93,-2782.9,-12.57,65.56,1.8,5.22,3.44,1.46,inf,1,0.0,6,2,-388.33,1719.15,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.97, rsi: 6"""
40,23,17,10000.0,12292.24,0.57,1.17,40,100.0,0.0,0,676.92,2292.24,22.92,269.51,229.8,57.31,0.57,57.31,38h 56m 54.00s,46h 13m 7.83s,29h 6m 42.35s,6198.77,-3906.53,-15.34,64.69,1.67,4.22,3.13,1.4,inf,1,0.0,6,3,-273.11,1733.48,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.98, rsi: 5"""
27,10,17,10000.0,11371.99,0.37,2.31,27,100.0,0.0,0,440.69,1371.99,13.72,516.54,223.14,50.81,0.51,50.81,46h 7m 33.33s,68h 18m 12.00s,33h 4m 49.41s,5165.38,-3793.39,-13.37,36.45,1.16,2.73,2.03,1.29,inf,1,0.0,3,5,-252.86,1744.22,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.98, rsi: 8"""
29,12,17,10000.0,11359.98,0.41,1.93,29,100.0,0.0,0,468.39,1359.98,13.6,424.79,219.86,46.9,0.47,46.9,43h 46m 20.69s,58h 55m 10.00s,33h 4m 49.41s,5097.53,-3737.54,-14.38,36.1,1.16,2.51,2.02,1.28,inf,1,0.0,3,5,-247.42,1711.99,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.98, rsi: 7"""
20,12,8,10000.0,11707.3,0.6,0.95,20,100.0,0.0,0,332.64,1707.3,17.07,480.04,506.65,85.36,0.85,85.36,85h 8m 30.00s,99h 35m 50.00s,63h 27m 30.00s,5760.52,-4053.22,-18.69,46.38,1.22,2.48,2.14,1.28,inf,1,0.0,3,3,-632.83,1847.62,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.95, rsi: 8"""
31,17,14,10000.0,12264.08,0.55,1.41,31,100.0,0.0,0,523.61,2264.08,22.64,319.79,226.6,73.03,0.73,73.03,40h 55m 23.23s,48h 10m 42.35s,32h 6m 47.14s,5436.45,-3172.37,-9.69,63.78,1.78,6.58,3.36,1.48,inf,1,0.0,3,2,-262.58,1787.2,-1,"""xparam: 71, take_profit: 1.18, stop_loss: 0.98, rsi: 6"""
31,21,10,10000.0,12559.73,0.68,0.83,31,100.0,0.0,0,532.91,2559.73,25.6,288.29,349.44,82.57,0.83,82.57,55h 49m 58.06s,58h 3m 20.00s,51h 9m 54.00s,6054.14,-3494.41,-19.25,73.48,1.72,3.82,3.27,1.43,inf,1,0.0,7,2,-666.04,1892.09,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.95, rsi: 5"""
21,5,16,10000.0,9168.2,0.24,2.39,21,100.0,0.0,0,298.72,-831.8,-8.32,494.4,206.49,-39.61,-0.4,-39.61,55h 51m 54.29s,50h 24m 0.00s,57h 34m 22.50s,2472.0,-3303.8,-17.52,-18.94,-0.48,-1.08,-0.81,0.89,-inf,1,68.21,2,6,-218.01,814.38,2,"""xparam: 71, take_profit: 1.18, stop_loss: 0.98, rsi: 10"""
23,16,7,10000.0,12311.04,0.7,0.78,23,100.0,0.0,0,393.43,2311.04,23.11,330.8,425.97,100.48,1.0,100.48,64h 55m 20.87s,71h 26m 52.50s,50h 0m 25.71s,5292.86,-2981.82,-13.48,65.3,1.67,4.84,3.25,1.44,inf,1,0.0,6,2,-661.59,1956.78,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.95, rsi: 6"""
21,13,8,10000.0,10893.62,0.62,0.76,21,100.0,0.0,0,333.44,893.62,8.94,366.53,483.91,42.55,0.43,42.55,76h 53m 48.57s,85h 10m 0.00s,63h 27m 30.00s,4764.91,-3871.3,-19.62,22.99,0.76,1.17,1.29,1.17,inf,1,0.0,4,3,-585.33,1811.23,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.95, rsi: 7"""
25,7,18,10000.0,9418.99,0.28,2.18,25,100.0,0.0,0,365.89,-581.01,-5.81,463.14,212.39,-23.24,-0.23,-23.24,50h 24m 31.20s,82h 51m 25.71s,37h 47m 23.33s,3242.01,-3823.02,-20.08,-13.47,-0.27,-0.67,-0.45,0.94,-inf,1,70.24,2,7,-226.84,917.29,2,"""xparam: 71, take_profit: 1.18, stop_loss: 0.98, rsi: 9"""
12,6,6,10000.0,9071.71,0.5,0.69,12,100.0,0.0,0,168.76,-928.29,-9.28,343.86,498.58,-77.36,-0.77,-77.36,121h 25m 20.00s,137h 20m 0.00s,105h 30m 40.00s,2063.18,-2991.46,-19.03,-20.98,-0.5,-1.1,-0.8,0.89,-inf,1,67.6,2,3,-523.44,716.72,2,"""xparam: 71, take_profit: 1.2, stop_loss: 0.95, rsi: 10"""
15,9,6,10000.0,10348.59,0.6,0.74,15,100.0,0.0,0,226.12,348.59,3.49,390.65,527.88,23.24,0.23,23.24,116h 20m 16.00s,122h 40m 0.00s,106h 50m 40.00s,3515.85,-3167.26,-19.02,8.64,0.4,0.45,0.68,1.09,inf,1,77.14,3,3,-554.68,745.32,3,"""xparam: 71, take_profit: 1.2, stop_loss: 0.95, rsi: 9"""
23,16,7,10000.0,12973.78,0.7,0.97,23,100.0,0.0,0,404.92,2973.78,29.74,339.74,351.73,129.29,1.29,129.29,64h 23m 36.52s,71h 26m 52.50s,48h 16m 8.57s,5435.87,-2462.09,-10.73,87.63,2.11,8.17,4.44,1.59,inf,1,0.0,6,2,-549.86,2021.46,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.96, rsi: 6"""
16,9,7,10000.0,10563.26,0.56,0.92,16,100.0,0.0,0,248.08,563.26,5.63,401.56,435.83,35.2,0.35,35.2,108h 22m 52.50s,122h 40m 0.00s,90h 0m 51.43s,3614.04,-3050.78,-16.45,14.16,0.54,0.86,0.93,1.12,inf,1,78.76,3,3,-465.5,777.29,3,"""xparam: 71, take_profit: 1.2, stop_loss: 0.96, rsi: 9"""
21,13,8,10000.0,11719.87,0.62,0.94,21,100.0,0.0,0,347.58,1719.87,17.2,380.3,403.0,81.9,0.82,81.9,75h 26m 20.00s,85h 10m 0.00s,59h 37m 52.50s,4943.9,-3224.03,-16.21,46.76,1.29,2.88,2.31,1.32,inf,1,0.0,4,3,-491.43,1888.05,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.96, rsi: 7"""
31,21,10,10000.0,13232.99,0.68,0.99,31,100.0,0.0,0,548.45,3232.99,32.33,297.05,300.51,104.29,1.04,104.29,55h 27m 46.45s,58h 3m 20.00s,50h 1m 6.00s,6238.1,-3005.1,-15.8,96.82,2.13,6.13,4.43,1.56,inf,1,0.0,7,2,-559.42,1972.95,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.96, rsi: 5"""
35,22,13,10000.0,12246.78,0.63,0.93,35,100.0,0.0,0,588.0,2246.78,22.47,279.19,299.64,64.19,0.64,64.19,47h 54m 27.43s,56h 8m 32.73s,33h 58m 18.46s,6142.13,-3895.35,-17.7,63.22,1.62,3.57,3.23,1.38,inf,1,0.0,6,2,-400.13,1856.02,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.97, rsi: 5"""
20,12,8,10000.0,12595.05,0.6,1.18,20,100.0,0.0,0,346.37,2595.05,25.95,497.78,422.28,129.75,1.3,129.75,83h 36m 39.00s,99h 35m 50.00s,59h 37m 52.50s,5973.3,-3378.25,-15.22,74.66,1.73,4.91,3.24,1.44,inf,1,0.0,3,3,-532.17,1928.48,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.96, rsi: 8"""
13,6,7,10000.0,9258.07,0.46,0.86,13,100.0,0.0,0,187.86,-741.93,-7.42,353.77,409.22,-57.07,-0.57,-57.07,111h 14m 18.46s,137h 20m 0.00s,88h 52m 17.14s,2122.6,-2864.53,-18.09,-17.0,-0.37,-0.94,-0.6,0.92,-inf,1,69.02,2,3,-425.99,747.0,2,"""xparam: 71, take_profit: 1.2, stop_loss: 0.96, rsi: 10"""
26,16,10,10000.0,12526.22,0.62,1.19,26,100.0,0.0,0,437.04,2526.22,25.26,332.68,279.67,97.16,0.97,97.16,54h 53m 18.46s,69h 56m 45.00s,30h 47m 48.00s,5322.9,-2796.68,-12.57,72.37,1.88,5.76,3.71,1.5,inf,1,0.0,6,2,-394.68,1911.78,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.97, rsi: 6"""
25,13,12,10000.0,11413.47,0.52,1.27,25,100.0,0.0,0,405.32,1413.47,14.13,398.48,313.9,56.54,0.57,56.54,56h 43m 36.00s,74h 23m 41.54s,37h 35m 10.00s,5180.25,-3766.79,-16.84,37.65,1.14,2.24,2.01,1.27,inf,1,0.0,3,4,-364.26,1848.05,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.97, rsi: 7"""
23,11,12,10000.0,11426.87,0.48,1.5,23,100.0,0.0,0,375.91,1426.87,14.27,476.98,318.32,62.04,0.62,62.04,60h 36m 57.39s,85h 44m 21.82s,37h 35m 10.00s,5246.75,-3819.88,-15.85,38.05,1.15,2.4,2.02,1.28,inf,1,0.0,3,4,-372.24,1883.9,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.97, rsi: 8"""
31,17,14,10000.0,12469.31,0.55,1.46,31,100.0,0.0,0,528.56,2469.31,24.69,333.46,228.53,79.66,0.8,79.66,40h 55m 34.84s,48h 11m 3.53s,32h 6m 47.14s,5668.79,-3199.48,-9.69,70.48,1.86,7.27,3.63,1.52,inf,1,0.0,3,2,-266.91,1987.45,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.98, rsi: 6"""
20,8,12,10000.0,9412.89,0.4,1.26,20,100.0,0.0,0,292.31,-587.11,-5.87,394.62,312.0,-29.36,-0.29,-29.36,70h 49m 51.00s,105h 0m 0.00s,48h 3m 5.00s,3156.92,-3744.03,-19.2,-13.61,-0.25,-0.71,-0.41,0.95,-inf,1,70.03,2,4,-330.58,909.34,2,"""xparam: 71, take_profit: 1.2, stop_loss: 0.97, rsi: 9"""
17,5,12,10000.0,8704.94,0.29,1.53,17,100.0,0.0,0,237.61,-1295.06,-12.95,459.54,299.4,-76.18,-0.76,-76.18,75h 20m 0.00s,83h 12m 0.00s,72h 3m 20.00s,2297.72,-3592.77,-20.92,-28.48,-0.82,-1.36,-1.3,0.83,-inf,1,64.76,2,6,-318.66,806.99,2,"""xparam: 71, take_profit: 1.2, stop_loss: 0.97, rsi: 10"""
29,12,17,10000.0,11553.04,0.41,2.0,29,100.0,0.0,0,473.0,1553.04,15.53,443.56,221.74,53.55,0.54,53.55,43h 46m 33.10s,58h 55m 40.00s,33h 4m 49.41s,5322.7,-3769.66,-14.38,41.76,1.26,2.9,2.27,1.32,inf,1,0.0,3,5,-251.65,1903.81,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.98, rsi: 7"""
27,10,17,10000.0,11564.65,0.37,2.4,27,100.0,0.0,0,444.85,1564.65,15.65,539.14,225.1,57.95,0.58,57.95,46h 7m 46.67s,68h 18m 48.00s,33h 4m 49.41s,5391.41,-3826.76,-13.37,42.1,1.26,3.15,2.27,1.32,inf,1,0.0,3,5,-257.1,1939.66,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.98, rsi: 8"""
40,23,17,10000.0,12500.25,0.57,1.21,40,100.0,0.0,0,682.28,2500.25,25.0,279.7,231.34,62.51,0.63,62.51,38h 57m 3.00s,46h 13m 23.48s,29h 6m 42.35s,6433.1,-3932.85,-15.34,71.5,1.76,4.66,3.38,1.43,inf,1,0.0,6,3,-277.44,1927.71,-1,"""xparam: 71, take_profit: 1.2, stop_loss: 0.98, rsi: 5"""
25,7,18,10000.0,9418.99,0.28,2.18,25,100.0,0.0,0,365.89,-581.01,-5.81,463.14,212.39,-23.24,-0.23,-23.24,50h 24m 31.20s,82h 51m 25.71s,37h 47m 23.33s,3242.01,-3823.02,-20.08,-13.47,-0.27,-0.67,-0.45,0.94,-inf,1,70.24,2,7,-226.84,917.29,2,"""xparam: 71, take_profit: 1.2, stop_loss: 0.98, rsi: 9"""
21,5,16,10000.0,9168.2,0.24,2.39,21,100.0,0.0,0,298.72,-831.8,-8.32,494.4,206.49,-39.61,-0.4,-39.61,55h 51m 54.29s,50h 24m 0.00s,57h 34m 22.50s,2472.0,-3303.8,-17.52,-18.94,-0.48,-1.08,-0.81,0.89,-inf,1,68.21,2,6,-218.01,814.38,2,"""xparam: 71, take_profit: 1.2, stop_loss: 0.98, rsi: 10"""
30,20,10,10000.0,11348.06,0.67,0.7,30,100.0,0.0,0,492.08,1348.06,13.48,237.06,339.32,44.94,0.45,44.94,57h 40m 8.00s,60h 55m 15.00s,51h 9m 54.00s,4741.28,-3393.21,-19.25,35.76,1.09,1.86,1.9,1.24,inf,1,0.0,7,2,-600.77,997.46,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.95, rsi: 5"""
22,15,7,10000.0,11579.25,0.68,0.72,22,100.0,0.0,0,361.78,1579.25,15.79,297.75,412.42,71.78,0.72,71.78,69h 6m 43.64s,72h 9m 40.00s,62h 34m 42.86s,4466.19,-2886.94,-13.56,42.54,1.32,3.14,2.37,1.31,inf,1,0.0,6,2,-608.18,985.17,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.95, rsi: 6"""
19,11,8,10000.0,11581.08,0.58,1.0,19,100.0,0.0,0,323.49,1581.08,15.81,528.75,529.39,83.21,0.83,83.21,92h 46m 12.63s,114h 5m 16.36s,63h 27m 30.00s,5816.23,-4235.16,-15.66,42.59,1.15,2.72,2.01,1.26,inf,1,0.0,3,3,-637.42,1075.15,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.95, rsi: 8"""
21,13,8,10000.0,10180.28,0.62,0.64,21,100.0,0.0,0,321.87,180.28,1.8,305.75,474.31,8.58,0.09,8.58,76h 17m 22.86s,84h 11m 9.23s,63h 27m 30.00s,3974.76,-3794.49,-19.02,4.41,0.29,0.23,0.46,1.06,inf,1,0.0,4,3,-584.79,985.17,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.95, rsi: 7"""
30,20,10,10000.0,11957.13,0.67,0.84,30,100.0,0.0,0,505.86,1957.13,19.57,243.41,291.11,65.24,0.65,65.24,57h 17m 12.00s,60h 55m 15.00s,50h 1m 6.00s,4868.2,-2911.07,-15.8,54.04,1.52,3.42,2.87,1.35,inf,1,0.0,7,2,-505.63,997.46,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.96, rsi: 5"""
22,15,7,10000.0,12201.93,0.68,0.9,22,100.0,0.0,0,372.22,2201.93,22.02,305.6,340.29,100.09,1.0,100.09,68h 28m 46.36s,72h 9m 40.00s,60h 35m 25.71s,4583.98,-2382.05,-10.8,61.78,1.79,5.72,3.45,1.45,inf,1,0.0,6,2,-506.83,1007.1,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.96, rsi: 6"""
19,11,8,10000.0,12460.96,0.58,1.23,19,100.0,0.0,0,336.14,2460.96,24.61,544.23,440.69,129.52,1.3,129.52,91h 9m 31.58s,114h 5m 16.36s,59h 37m 52.50s,5986.52,-3525.56,-12.97,70.2,1.67,5.41,3.09,1.42,inf,1,0.0,3,3,-535.88,1085.9,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.96, rsi: 8"""
21,13,8,10000.0,10950.42,0.62,0.8,21,100.0,0.0,0,335.22,950.42,9.5,316.14,394.93,45.26,0.45,45.26,74h 49m 54.29s,84h 11m 9.23s,59h 37m 52.50s,4109.84,-3159.42,-15.57,24.54,0.86,1.58,1.41,1.2,inf,1,0.0,4,3,-471.24,985.17,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.96, rsi: 7"""
16,9,7,10000.0,10970.54,0.56,1.02,16,100.0,0.0,0,255.28,970.54,9.71,455.87,447.47,60.66,0.61,60.66,104h 57m 33.75s,116h 35m 0.00s,90h 0m 51.43s,4102.85,-3132.31,-13.05,25.1,0.82,1.92,1.41,1.19,inf,1,81.81,3,3,-484.02,978.39,3,"""xparam: 72, take_profit: 1.1, stop_loss: 0.96, rsi: 9"""
15,9,6,10000.0,10746.88,0.6,0.82,15,100.0,0.0,0,232.34,746.88,7.47,443.3,540.48,49.79,0.5,49.79,112h 41m 16.00s,116h 35m 0.00s,106h 50m 40.00s,3989.73,-3242.85,-15.72,19.02,0.67,1.21,1.13,1.15,inf,1,79.98,3,3,-576.13,967.64,3,"""xparam: 72, take_profit: 1.1, stop_loss: 0.95, rsi: 9"""
12,6,6,10000.0,9405.21,0.5,0.81,12,100.0,0.0,0,173.28,-594.79,-5.95,410.84,509.97,-49.57,-0.5,-49.57,118h 11m 35.00s,130h 52m 30.00s,105h 30m 40.00s,2465.01,-3059.81,-15.73,-13.78,-0.3,-0.88,-0.47,0.94,-inf,1,70.03,2,3,-534.63,931.08,2,"""xparam: 72, take_profit: 1.1, stop_loss: 0.95, rsi: 10"""
13,6,7,10000.0,9600.41,0.46,1.01,13,100.0,0.0,0,193.17,-399.59,-4.0,422.89,419.56,-30.74,-0.31,-30.74,108h 15m 27.69s,130h 52m 30.00s,88h 52m 17.14s,2537.36,-2936.95,-15.01,-9.39,-0.15,-0.63,-0.25,0.97,-inf,1,71.46,2,3,-442.04,939.68,2,"""xparam: 72, take_profit: 1.1, stop_loss: 0.96, rsi: 10"""
34,21,13,10000.0,11065.12,0.62,0.79,34,100.0,0.0,0,548.27,1065.12,10.65,231.23,291.59,31.33,0.31,31.33,49h 16m 7.06s,58h 44m 17.14s,33h 58m 18.46s,4855.74,-3790.62,-17.7,27.72,0.95,1.57,1.7,1.2,inf,1,0.0,6,2,-362.63,997.46,-1,"""xparam: 72, take_profit: 1.1, stop_loss: 0.97, rsi: 5"""
